comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
185,fall,2,"A recurring CV(k) shape like 'tok', 'tɔk', 'tˢok' and 'tak' appears in both bags. Some weak echoes with initial 't-' or 'm-' forms, but overall little consistent multisyllabic patterning.","Bag A contains a strong cluster of 'tok/tɔk/tok/thok' forms and some monosyllabic shapes, while Bag B has a few items like 'takawa', 'tˢoβi', '-tak', 'tatɨk', and 'tapu' that have some overlap with the 'tok/tak' shape. However, there is little indication of widespread or systematic shared patterns beyond these isolated similarities, and the majority of forms do not match well in segmental structure.",17,80,0
186,count,1,none noted,"Bag A forms are generally short with simple CV(C) shapes and frequent nasal, liquid, and glide segments, such as nai, jai, nap, and son. Bag B is dominated by longer forms, many with complex clusters, reduplication, or multiple syllables (e.g., bilang, lumpu', masipul, soməpə', tau-ria), and has little recurring phonological resemblance to Bag A's forms. No noteworthy recurring phonological patterns are shared widely across both bags.",13,80,0
187,dig,2,"Some shared CVC shapes with medial/labial onsets and -t/-k codas (e.g., wa:t, pa:k ~ forms like kali, kutkot, kakali), but overall little consistent resemblance and limited broad recurring shape matches.","Bag A prominently features (C)wa:t, (C)weːt, (C)va:t, with CVC structures and finals like -t/-k, while Bag B shows a much wider variety with some CVC formations and some forms (like kali, kutkot, kakali, kali) repeating. However, the overlap in phonological structure is weak, with only sporadic and superficial matches mostly in the CVC template and use of coronal/labial consonants. No widespread, convincing recurring patterns suggestive of hypothetical cognacy.",30,80,0
188,mosquito,2,"Marginal overlap in CVŋ/CVn, nuŋ/ŋoŋ with namu/nam/nim/nanu-; otherwise little recurrent segmental similarity.","Both bags have multiple forms with a nasal plus high vowel plus velar nasal or 'n' endings (e.g., ńuŋ, juŋ, nim, namu), and a few forms with 'ŋ'-final shapes or CVn/CVŋ patterns, but these are both typologically common patterns and not particularly diagnostic. Overall, there is little systematic shared segmental structure or persistent recurring shape across more than one item in both sets, so hypothetical cognacy is not strongly supported.",18,80,0
189,when,2,Some nasal-initial and CVN or CVVN shapes recur in both bags; rare partial matches like 'nai/na' or 'kau/ka-' but generally distinct segmental profiles.,"While both bags contain some forms with similar syllabic patterns (e.g., CVN, CVCV, and forms with initial nasals or k-/n- onsets), the consonant and vowel sequences diverge substantially overall. Only occasional similar shapes like 'na', 'ka', and 'nau/nu' appear, but these are scattered and often not in analogous environments, giving limited support for widespread hypothetical cognacy.",40,80,0
190,squeeze,2,"Some recurring nasal-final (CVC nasal) and CVC sequences like 'pan', 'kan', 'nɛn', 'ɐn' in bag_a; similar CV(C)N syllables in a few bag_b items (banan, manandaitsy, namo, namu), but otherwise overall root structure and consonant clusters diverge.","While there are a few CVC and nasal-final shapes that superficially match across the bags (such as 'pan', 'kan', 'nɛn' and 'banan', 'namo', 'namu'), these are isolated and do not show cohesive, widespread patterns. Most forms in bag_b are longer and have complex clusters unlikely to correspond regularly to shapes in bag_a. Thus, only weak, isolated shape resemblances exist.",27,80,0
191,throw,1,none noted,"There are no clear recurring segmental patterns between the two bags. Bag A shows many forms with final -t/-k and clusters of 'v', 'w', and 'd' in the onset, whereas Bag B exhibits a greater diversity of complex syllables, varied final consonants, and little resemblance in common phonological skeletons. No shape recurs widely across both sets.",36,80,0
192,spider,2,"Recurring 'ka', 'ku', 'ŋ', and syllabic reduplication in both bags; also widespread CV:ŋ/CV:w/CV:ŋa type forms and some 'law/lawa' in bag_b matching 'la' and 'lo' in bag_a, with possible nasal-final forms in both.","There are a few recurring patterns such as initial 'ka-/ku-', nasal codas ('ŋ'), and some reduplicated forms present in both bags. However, the overall segmental similarity is fairly superficial, and most forms do not clearly match across the sets. Only sparse partial patterns are shared but nothing systematic or widespread enough to strongly suggest hypothetical cognacy.",36,80,0
193,dreamsomething,1,none noted,"On shape alone, the forms in bag_a and bag_b exhibit distinct consonant and vowel structures, with no obvious recurring patterns or segmental affinities present across both bags. Even among multi-syllable strings, there is no clear evidence for systematic correspondences or widely-shared skeletons. Any minor superficial similarities (e.g., presence of nasal or stop + vowel + nasal sequences) are isolated and not recurrent on both sides.",33,80,0
194,warm,1,none noted,"There is minimal segmental overlap between the two bags. Bag A is dominated by short (C)V(C) syllable strings with many forms involving 'au', 'un', 'u:n', or 'am/um' shapes, and several syllables starting or ending with nasals or liquids. Bag B, in contrast, is more polysyllabic, often contains clusters, reduplications, and longer forms with little resemblance to the recurrent CV shapes of Bag A. No widespread, plausible correspondences or shared skeletons are found.",26,80,0
195,flow,2,"Some apparent similarity in VC sequences such as 'lui', 'luiʔ', and 'lui' segments present in both bags; loose resemblance with C-l-(V)i/u shapes (e.g., 'lui', 'luiʔ', 'loi', 'lui', 'qluli', 'qəlúlui', 'mqluiʔ').","While most forms are quite different, there is a limited pattern where 'lui' or similar (loi/lui/luiʔ/luli) appears multiply in both bags, particularly in some Formosan forms and multiple Tai/Kam-Sui items. However, overall segmental resemblance across bags is weak, and apparent shape overlaps are rare and mostly confined to a single segment cluster.",24,80,0
196,and,2,"Possibly recurring nasal-final CVC shapes (e.g., taŋ, kan, tan, nan, jan), and some overlap with CV(C) forms starting with k-/t-/m- (e.g., kap~kag/kág, taŋ~tan, neɐm~nia/neu/noo), but these are common patterns and may be accidental.","While both bags show a prevalence of short CVC/CVVC forms with nasals and stops, and there is some overlap in syllable patterns and initials like k-, t-, and m-, these shapes are very common cross-linguistically and infrequent precise matches occur. There are one or two possible correspondences (e.g., taŋ~tan), but widespread robust shape similarity is lacking.",30,80,0
197,dirty,1,none noted,"There are no clear, recurring segmental patterns, consonant clusters, or vowel structures that are widespread in both bags. Most forms are quite distinct in their phonological makeup. While both bags include forms with CV or CVCV shapes and a few nasal/consonant-initial forms, the overlap is not systematic or consistent enough to suggest promising hypothetical cognacy.",22,80,0
198,chew,2,"Isolated similarity: 'ŋau' occurs in both bags; both bags feature some forms with nasal-vowel clusters (e.g., 'mam', 'mamam', 'ńa:i'), and reduplicated/m-bilabial-heavy forms, but no widespread, clear patterns matching across both bags.","The only directly repeated form between the two bags is 'ŋau', which could suggest a possible connection, but is a single, isolated instance. While both bags have a number of forms featuring nasal or bilabial initial segments and potential reduplication, these are not systematic nor clearly matched in shape across many items. Overall, there is little compelling evidence for broad hypothetical cognacy in the set.",21,80,0
199,needleforsewing,2,"Some overlap in -m final syllables (e.g., sum/sim/sɪm/səm vs. hum/gum/um/umu/mum/umay), but most initial clusters and vowel patterns differ; only partial, non-persistent resemblance in endings.","Both bags have a number of items ending in -m or -um, and some with s-like or t/k onsets, but the commonalities are limited mostly to the final syllable. The majority of initial and medial consonants, as well as vocalic patterns, do not correspond regularly, and recurring shapes in one bag (e.g., various -im/-em/-am/-um) do not have clear and repeated partners in the other. There are isolated superficial similarities but not widespread, systematic segmental matches.",30,80,0
200,thousand,1,none noted,"Bag A is dominated by forms with s/ɕ/ś/tɕ + i/e + n structure, often CVN or CVCVN syllables, with heavy use of palatal and alveolar fricatives or affricates and front vowels. Bag B is mostly characterized by forms in libu/ribu/βu (CVbu) shapes, as well as a wide variety of polysyllabic and compound-like forms. There are no compelling recurring phonological skeletons or correspondences across both bags, and no shape appears to be even loosely widespread in both sets.",30,80,0
201,hideconceal,1,none noted,"There are no prominent recurring segmental patterns or similar consonant/vowel skeletons between the two bags. Bag A is dominated by short CVC and CVN forms often with initial s-, m-, or j-, while Bag B has longer, more complex strings featuring frequent sibilant/consonant clusters and reduplication that do not align segmentally with Bag A. Apparent similarities are absent or accidental.",28,80,0
202,fight,1,none noted,"The forms in bag_a and bag_b show notably different phonological patterns and segmental skeletons. Bag_a is dominated by monosyllabic and disyllabic forms with clusters like 'tu', 'ta', 'ka', and often includes syllable-final consonants, while bag_b has a predominance of longer, more open syllable structures, many initial 'm', 'v', 'h', and vowel-heavy or complex forms. There are no recurring shapes or systematic segmental similarities across the sets.",35,72,0
203,push,1,none noted,"Bag A consists mainly of short monosyllabic or disyllabic forms with simple CV(C) or CCVC structures and a high frequency of diphthongs and final nasals, while Bag B has longer, more complex forms with frequent polysyllabic shapes and consonant clusters rarely seen in Bag A. There are no clear recurring segmental patterns or skeletons shared across both bags to suggest a promising relationship.",34,80,0
204,play,1,none noted,"There is minimal observable similarity in consonant/vowel patterns or segmental sequences between the two bags. The forms in each bag show very different phonological shapes, and there are no recurring structures or correspondences that would suggest hypothetical cognacy on the basis of shape alone.",31,80,0
205,road,2,"Some recurrence of CVN and CV:C patterns in both sets; limited overlap in initial l-, k-, h-, t- and n- segments; multiple forms in bag_b show repetitive syllables (e.g., lalana, lalagny), with partial similarity to some sequences in bag_a (e.g., loŋ, la:u), but overall little robust segmental correspondence.","Although both bags feature nasal-final and simple CV/CVC shapes as well as a handful of initial l-, k-, and n- elements, the majority of recurring forms show little systematic segmental overlap, and the most repetitive shapes in bag_b have no clear parallel in bag_a. Resemblances are few and generally superficial.",25,54,0
206,sick,1,none noted,"The forms in bag_a predominantly feature clusters with initial p-, pj-, pi-, pe-, and medial -ŋ or -n, often with short forms and simple syllable structure. Bag_b, in contrast, contains a variety of more complex and polysyllabic forms, many beginning with m-, ma-, or mo-, and lacking any recurring segmental pattern that resembles those in bag_a. No clear or repeated segmental matches or shared phonological skeletons are observed between the bags.",24,59,0
207,board,2,"Both bags show some recurring pVn or pVn-like shapes (e.g., 'pen', 'pɛn', 'peːn', 'pa:n' in bag_a and 'papa', 'papene', 'pahitai!ai' in bag_b), and both contain forms with 'b' and 'p' onsets plus nasal or liquid codas, but the matches are limited to very generic CVn/CVCV patterns and not clearly systematic.","Although both sets have various forms with initial 'p' or 'b' and nasal codas or medial consonants, these are common phonological shapes and do not demonstrate strong, widespread correspondences across both sets. There are some superficial similarities (like pVn vs papa), but not enough recurring, distinctive shapes to suggest a promising level of hypothetical cognacy.",28,37,0
208,some,1,none noted,"Bag A features many monosyllabic or disyllabic forms with CVC or CVN structure (e.g., 'ti', 'niŋ', 'phɔŋ', 'ba:ŋ'), whereas Bag B has a strong presence of reduplicated, longer forms (e.g., 'kidikidie', 'kelikely', 'vitsivitsy'). There are no clear, recurring root shapes or segmental skeletons that are notably shared or correspond in a regular way between both bags, making hypothetical cognacy on shape alone unpromising.",35,33,0
209,fruit,2,"Possible overlap in ma:k, mai, mak, and bu(a/o)-, bua, boŋ, but these are isolated and do not show consistent, widespread, or systematic resemblance in structure across both bags.","While there are individual forms such as ma:k (bag_a) and forms beginning with bu-/bo-/bua- (bag_b), no clear or widespread recurring segmental pattern is robustly present in both bags. Shapes like 'ma:k' and 'bua' might suggest shallow resemblance, but these are sporadic and not systematic. Overall, broader structural correspondences and repeated patterns are lacking.",23,80,0
210,hunt,1,none noted,"Despite both bags containing a relatively high number of forms with initial t/k/p and some CV or CVC shapes, there are no obvious recurring phonological skeletons or segmental patterns aligning widely across both sets. Any similar-sounding forms appear chance-like and not systematic or widespread. The overall segmental makeups are distinct and lack promising correspondences.",35,80,0
211,smellperceive,2,"Very limited overlap: a few vague CVCV patterns, nasal-initial CVN/CVM clusters, and rare similar syllable shapes (e.g., mau ~ ʈəmaul, mau ~ mai), but no widespread recurring roots or robust correspondences across both bags.","The two sets show a wide variety of segmental patterns and little evidence of systematic recurrence of shapes or clear correspondences. Occasional surface similarities like 'mau' (bag_a) and 'mai', 'mahamot' (bag_b), or some final -m, -n, -p/-b forms are best attributed to general phonotactic tendencies rather than robust evidence for hypothetical cognacy.",22,80,0
212,yawn,1,none noted,"Bag A is dominated by CVV and CVC syllable types, with numerous forms containing elements like 'ha:u', 'hau', 'lum', and 'lam', and multiple concatenations with '+', but these shapes are not clearly matched by wide-spread forms in bag B. Bag B contains many repeated 'ma-', 'mama-', 'mava-', 'swab', 'yab', 'waw', and 'ab' sequences, usually in longer, reduplicated or suffixed multisyllabic forms. No consistent or widespread segmental shape, reduplication, or skeleton recurs across both bags.",34,80,0
213,if,2,"Some matches like 'laŋ', 'ko', 'na', 'ka', 'ŋ', and similar open syllables; possible recurring nasal, liquid, and velar shapes; however, shared patterns are only weakly attested and never tightly matched across both bags.","Both bags contain forms built from open syllables, with particular recurrence of 'la', 'ka', 'na', 'ŋ', and 'ko' sequences, and some medial nasal or liquid segments. These common shapes could arise via coincidence given their ubiquity. There are no striking widespread, specific recurring templates in both bags, but a handful of segmental overlaps warrant a low generosity score rather than outright rejection.",30,80,0
214,dance,1,none noted,"No clear recurring segmental shapes or consonant-vowel patterns are visible across both bags. The forms in each bag have different typical syllabic structures and do not show evidence of shared roots or widespread analogous shapes. Isolated coincidences, such as syllables like 'ka', are not systematic or widespread enough to suggest hypothetical cognacy.",34,43,0
215,thunder,2,"Scattered labial-initial CV and CCV shapes (e.g., pja, po, pu, pha/faa, pl- in bag_a; pyu, bru, plu, bu-, pa-, pi-, pu- in bag_b), but no strong recurring correspondences across both bags, and syllable structures differ widely.","Both bags show some superficial overlap in bilabial-initial clusters and syllables (pja/fa/po/pu versus pyu/bru/plu/pa/pi/pu in various forms), but these are broad shapes and appear across multiple unrelated items in both sets. However, there are no clear, repeated, systematic correspondences or strongly matching roots widespread in both bags, and the overall phonological profiles and syllable structures are quite different. Only isolated and typologically common shapes are shared.",30,80,0
216,cooksomething,2,"Noted widespread CVN and CVCV(C) patterns, a few forms with -ŋ/-n/-m codas in both bags, and scattered similarities like 'tuŋ', 'tom', 'tum' in bag_a and 'tunu', 'tomalək', 'maluto', 'duto', 'tunuk' in bag_b, but no robust, recurring segmental skeletons across both bags.","While both bags contain some n/m-final syllables and CVN forms, and a few biforms with medial liquids or labials, the overall shape matches are weak and inconsistent. No strong, repetitive shared skeletons suggest possible cognacy; similarities are limited to very general syllable patterns and a few coincidental lookalikes.",26,80,0
217,shoot,1,none noted,"Bag A contains a large number of forms with a recurring 'ŋ' final and mostly monosyllabic or disyllabic shapes, such as (C)(j/i/ɪ/ŋ) patterns. Bag B is dominated by polysyllabic, complex forms, with a recurring 'pana' shape and various other distinct roots and affixes. No widespread shared skeletons or patterns are apparent, and no recurring shapes are matched across both bags.",18,80,0
218,cut,2,"Some recurrence of forms with initial t-/k-, mid front vowels (-e, -ɛ), and final -t/-p/-k(-), but broad matches are weak and not consistent across both bags.","A few items from both bags show forms like 'tat', 'tət', 'tɛp' (bag_a) and '-tak', '-tɪt͡ʃ', '-tɔk', '-tar', '-tɛr', 'teb˺' (bag_b), which share a basic tV(C) shape, especially with final stops. There are also some forms with initial k- and mid front vowels in both bags. However, the majority of forms in bag_b are polysyllabic, with complex clusters not mirrored in bag_a, and overall recurrence of similar shapes is limited. The evidence is very thin for widespread shape alignment.",21,80,0
219,float,1,none noted,"Bag A is characterized by mostly short CV(V) or CVC syllable shapes and many forms ending in -u, -i, or similar vowels. Bag B overwhelmingly features longer, multi-syllabic forms with variable syllable structures, such as -nga, -fo, -na, and complex clusters. No consistent shared segmental patterns or recurring shapes are observed across multiple forms in both bags, making hypothetical cognacy highly unpromising based on segmental structure.",20,80,0
220,garden,1,none noted,"There is no clear recurring segmental pattern or consonant/vowel skeleton that is widespread in both bags. While both bags have some forms containing nasal consonants, labials, and sequences like CVN or CVCV, these are typologically common and distributed randomly here. There are no promising or repeated shapes or correspondences apparent across the sets.",31,80,0
221,arm,1,none noted,"Bag A is dominated by forms with -n/-ŋ codas or -in/-en/-an/-en sequences, as well as several forms in -in/-in¹/-in¹. Bag B is overwhelmingly dominated by forms ending in -ma, -me, -mi, or -na. There are no recurring stem shapes or consonant/vowel skeletons that are widespread in both bags and suggest any systematic similarity.",25,50,0
222,bathe,1,none noted,"The two bags lack strong recurring segmental similarities. Bag A is dominated by forms with initial glottal stops plus sequences like 'a:p', 'ap', and 'nam', while Bag B features a diverse mix of vowel/consonant patterns such as 'kau', 'loto', 'mānu', and 'hopu', but these do not match the prominent structural patterns found in Bag A. No pervasive, widespread phonological patterns are found in both sets that would suggest hypothetical cognacy.",22,55,0
223,centipede,1,none noted,"No consistent or widespread correspondences in segmental structure are visible across these two bags. Bag A features many monosyllabic forms with stop-finals and clusters like 'kʰup', 'khap', 'sip', while Bag B is dominated by longer, multisyllabic forms such as 'livalivaŋa', 'ɣarapenuhi', and 'safile'. There are no clear recurrent shapes or roots that suggest hypothetical cognacy between the sets.",32,64,0
224,lazy,1,none noted,"There are no clear segmental patterns, consonant/vowel skeletons, or repeated syllable structures that recur in both bags. The forms in bag_a and bag_b appear highly divergent in phonological shape, with no promising recurring correspondences.",24,71,0
225,askinquire,1,none noted,"There is no statistically significant overlap or recurring segmental skeletons between the two bags. Bag A is dominated by CV:C syllables, often ending in nasals or diphthongs (e.g., saːi, ka:m, tha:m), while Bag B contains mostly polysyllabic forms with clusters, nasals, and a wide array of structures and segment types. No core consonant-vowel patterns recur broadly in both bags.",12,63,0
226,ghost,1,none noted,"There are no clearly recurring consonant-vowel skeletons or segmental patterns that appear broadly across both bags. Each bag displays distinct phonotactics and morphophonological profiles, and any superficial likenesses (e.g. isolated 'maŋ' or 'ta' sequences) do not recur widely in both sets. This makes hypothetical cognacy on shape highly unlikely here.",21,67,0
227,hairhead,1,none noted,"There are no apparent recurring segmental shapes or syllable structures that link the forms across the two bags. The CVC and multisyllabic patterns in bag_a (e.g., forms with -am/-om/-um/-an) do not match the prevalent disyllabic or longer, often vowel- or nasal-rich forms in bag_b (e.g., volondoha, randrana, palpalina). No plausible cognate shapes recur widely in both sets.",19,20,0
228,lightning,3,"Multiple forms with -lap, -lɛp, or -jap in bag_a align roughly with forms like 'lapet-', 'ladjap', and 'idlap' in bag_b. Some matching onset consonant clusters (l-, p-, m-) and repeated syllable patterns (e.g., la-, ma-, va-), but many forms in bag_b diverge significantly.","There is some promising overlap in the segmental shapes, especially around 'lap', 'jap', and similar syllable structures. Several forms in both bags share CV(C)VC patterns and consonant/vowel skeletons. However, for most items, the correspondences are limited or obscured by divergent forms, making the overall hypothetical cognacy only moderately promising based on shape alone.",32,80,0
229,rainbow,1,none noted,"Bag A is dominated by forms containing the recurring sequence -uŋ/-oŋ/-ɔŋ, with numerous items sharing a C(V)ŋ or CVŋ/CVŋV template. Bag B, by contrast, lacks any such consistent segmental pattern and displays greater syllable length and much more varied phonology. There are no salient recurring shapes or possible correspondences found widely in both bags, suggesting very limited prospects for hypothetical cognacy based on form alone.",27,80,0
230,bamboo,2,"Some recurring CV or CVCV forms (e.g., presence of forms like 'mai', 'fai', 'pai', and forms ending in -u/-o/-i in both bags), but the consonant and vowel skeletons mostly differ and there are no pervasive or systematic correspondences across multiple items.","While there are some surface-level similarities in the presence of short CV or CVCV structures and some overlap in consonants like m, p, k, and vowels like a, o, u, the distribution and structure of forms diverge considerably between the bags. No clear patterns of systematic correspondences or widely recurring skeletons are evident, suggesting only weak hypothetical cognacy on form alone.",26,53,0
231,plantsomething,2,"Some nasal clusters (m-, n-) and -am/-an/-um/-om/-aŋ/-am/-an/-am final nasal/coda patterns visible in both, but otherwise overall structure and consonant sequences diverge.","Both sets display a certain recurrence of nasal consonant-initial forms and syllabic structures ending in -m or -n, and there are scattered matches in overall CV(C) shape. However, the segmental composition, affix patterns, and root shapes otherwise diverge considerably and there is not enough recurrent structural similarity, so hypothetical cognacy is not strongly supported on shape alone.",22,80,0
232,lake,2,"Some recurring shapes in bag_b like -naw, -law, -laŋ, -luŋ, -ŋa; bag_a has forms like laːŋ, waŋ, nɔ:ŋ, ɹaːŋ, and lo:ŋ, but no widespread, systematic segmental matches.","Both bags feature forms ending in -ŋ and nasal-final syllables (e.g., laːŋ, waŋ in bag_a; lanaw, banaw in bag_b), but the correspondences are limited and irregular. There is no strong shared consonant/vowel skeleton recurring widely across both sets, and most similarities appear coincidental or marginal rather than systematic.",20,80,0
233,turtle,1,none noted,"Bag A and Bag B do not show recurring similar segmental patterns or word shapes, and no clear, widespread consonant-vowel skeletons are shared across both sets. While both bags contain some CV and CVCV forms, the segment inventories and root shapes generally do not overlap in a way that is promising for hypothetical cognacy.",22,47,0
234,fatorganicsubstance,2,"Some recurring VC and CVC forms with 'man', 'mai', 'na', and 'la:u' in bag_a and similar 'ma', 'mana', 'mai', 'man', and 'kao', 'la' in bag_b; overall, segmental similarity is weak and not systematic.","There are a few strings in each bag whose shapes loosely resemble each other (e.g., 'man', 'mai', 'na', 'la:u'), but these are mostly simple CV or CVC syllables found cross-linguistically and do not recur in both bags in a systematic, patterned way. Most items do not show consistent correspondences or shared structural patterns. The superficial overlap is likely coincidental, so hypothetical cognacy on shape alone is not strongly supported.",23,80,0
235,man,2,"Some 'la', 'ma', 'na', 'le', 'ka', and 'ta' syllables recur in both bags, but overall segmental similarity is weak and widespread shape matches are limited.","Few segmental sequences or repeated CV patterns are clearly shared across both bags; the most that can be seen are simple syllables like 'la', 'ma', 'ka', and 'ta', which are common and not distinctive. There are no strong recurring or unique patterns that stand out as supporting hypothetical cognacy based on shape alone.",31,69,0
236,far,2,"Some overlapping patterns: -ai, -ay, initial k-/kj-/kl-, and medial/lateral l/j elements occur in both bags, but matches are often vague or componential rather than whole word shapes.","While there are some superficial similarities, such as recurring final -ai/-ay/-ei syllables and some initial k-/kl-/kj- clusters in both bags, these are common phonological patterns and no strong, consistent shape correspondences recur broadly across both sets. No clear, widespread template points to hypothetical cognacy beyond chance-level resemblance.",26,80,0
237,in,1,none noted,"The forms in bag_a predominantly display syllable structures rich in initial glottal or voiced stops followed by vowels with little resemblance to the more complex, multisyllabic and varied onset structures in bag_b. No recurring root shapes, segmental templates, or consonant/vowel sequences are shared widely across both bags to suggest hypothetical cognacy.",17,80,0
238,we,4,"Strong recurrence of CVVC/VVC shapes with t/k initial and a/u/i vowels across both bags, notably forms like 'tau', 'lau', 'toi', and 'kat-/kit-/tik-/ita' sequences in both sets. Many forms cluster around (C)(i/u/a)t(a/u/o) and identical syllable sequences (e.g., 'tau', 'lau', 'kita', 'ita').","There are clear widespread segmental parallels between the bags: both feature many forms with 't/k/i/u/a' structures and frequent bisyllabic CV.CV or CVCVC words. Recurring shapes like 'tau', 'lau', and 'kita/ita' appear in both sets, strongly supporting hypothetical cognacy based solely on form, especially given their distribution across several different clades in both bags.",26,80,0
239,say,1,none noted,"Overview of the segmental shapes reveals no significant or recurring phonological patterns shared across both bags. Although both bags have a variety of forms that sometimes contain similar phonemes (such as initial k- or presence of nasal codas), there are no systematic or widespread matches in their consonant/vowel sequences or syllabic structures. Similarities appear coincidental and scattered, without evidence of recurring or regular phonological correspondences.",23,80,0
240,hide,1,none noted,"There are no clear, recurrent segmental shapes or consonant-vowel skeleton patterns that appear across both bags. Some bag_a items cluster around C(V)u and CVC forms, but these patterns do not show systematic matches in bag_b, where forms are generally longer and more complex. No promising wide shape similarities indicating hypothetical cognacy are observed.",12,80,0
241,scratch,2,"Some overlap in the presence of initial k-, ka-, ko-, and final -ai/-oi/-au vowels, as well as -k- and nasal/velar segments, but these are not systematic or especially distinctive; clusters and reduplicated forms are more frequent in bag_b. Few if any highly distinctive patterns recur strongly across both sets.","While both bags contain several items with initial velar stops (k-, g-, ŋ-) and some CV(V)N/CVVC patterns, the overlap is mostly in very common phonological structures. Bag_a is much shorter, with little internal variation, and while bag_b is rich in types, the matching shapes are not widespread or diagnostic. No strong, systematic patterning stands out for hypothetical cognacy.",10,80,0
242,at,1,none noted,"There are no recurring segmental shapes or consonant-vowel skeletons that are widespread in both bags. Bag A tends to have monosyllabic or simple disyllabic forms with initial palatals, fricatives, or stops and complex vowels, while Bag B displays a wide array of shapes, many of them longer and involving clusters or nasals uncommon in Bag A. There are no clear recurring patterns to suggest hypothetical cognacy.",8,80,0
243,weexclusive,1,none noted,"Bag A has many forms with prominent 'diu', 'niu', and 'haw' elements and complex onsets like 'ȶ', 'ⁿd', while Bag B is dominated by m-vowel-m or k-vowel-m, CVCV patterns, and 'ami', 'kami', 'memi', 'mami' recurring. No phonological skeleton or root segment sequence appears widespread in both sets, and surface similarity is very low.",25,80,0
244,wipe,1,none noted,"Bag A consists largely of short forms ending in -k or -t, often with initial s-, t-, or ʔ- clusters, while Bag B primarily contains longer, multi-syllabic forms, often with CV-repetition or -a endings and little phonological overlap. No recurring segmental skeletons or plausible correspondences are apparent between the two bags.",14,67,0
245,behungry,1,none noted,"The forms in bag_a strongly concentrate on a CV(V)k or CVC structure, commonly with initial glides or ʔ, and a final -k, while bag_b forms have much longer, varied syllabic shapes, including many polysyllabic forms and participant clusters absent in bag_a. No salient recurring segmental skeletons or plausible correspondences are observed across both bags.",16,58,0
246,oldused,1,none noted,"The forms in bag_a are very short (mostly CV(V)), with prominent velar and alveolar onsets and the nucleus -au or -au-. Bag_b shows much greater diversity, primarily multisyllabic forms with distinct consonant clusters and no clear recurring shape matching bag_a’s profile. No recurrent, close segmental matches are observable across both sets.",4,57,0
247,fearbeafraid,1,none noted,"Bag A forms are generally short CV, CCV, or CVCV(V) structures, with high prevalence of labial, velar, and lateral onsets, and diphthongs or long vowels, while Bag B forms are much longer, frequently with complex consonant clusters and affixal elements (e.g., initial 'ma-', 'mi-', 'mata-'). There is no recurrent pattern or segmental skeleton consistently linking the two bags, and no plausible correspondences across multiple items.",6,80,0
248,heorshe,1,none noted,"The forms in bag_a are tightly similar, all with initial 't-' and vowel nuclei like 'e', 'i', or 'ɛ' with a final glottal stop, except for one divergent 'man'. Bag_b, however, shows a great diversity of shapes and syllable structures, with no strong similarity to the patterns in bag_a. No recurring segmental skeletons appear widely in both bags, so hypothetical cognacy is not supported on shape alone.",4,80,0
249,branch,2,"Possible overlaps in nasal-stop plus high vowel (e.g., 'ŋiŋ' in bag_a and 'ŋa', 'ŋo', or 'ŋe' clusters in bag_b); some final -ŋ in both, but shapes and structures diverge considerably overall.","While there are a few superficial similarities, such as nasal-initial sequences ('ŋi', 'ŋe', 'ŋa' in bag_a and 'ŋa', 'saŋa', 'taŋa' in bag_b), the bulk of forms in both bags do not align in consonant-vowel skeletons or recurrent patterns. The overlap is mainly in general nasal and high vowel segments, and final -ŋ elements, which are relatively common structures and could be coincidental.",11,80,0
250,faecesexcrement,1,none noted,"The bag_a forms overwhelmingly feature a p-n structure with varying vowels and occasional glottal stops, whereas bag_b forms mostly display t/k/ŋ initial consonants, followed by vowels including 'a', 'e', and sometimes terminal 'na' or 'ŋa'; there are no apparent recurring segmental shapes or consonant-vowel patterns across both bags that suggest hypothetical cognacy.",9,21,0
251,waitfor,1,none noted,"No clear recurring segmental patterns or skeletons are evident across multiple forms in both bags. Bag A is dominated by t/k + front vowel + ŋ/a skeletons, while Bag B shows a wider variety with many forms containing r, t, s, n, m, and various syllable structures; there are no widespread or systematic segmental resemblances to suggest promising shape-based cognacy.",7,37,0
252,spear,1,none noted,"There are no recurring segmental shapes or consonant-vowel skeletons shared widely across both bags. While a handful of items in each list superficially have similar syllable structures (e.g., CVCV), the specific consonant and vowel sequences show no systematic correspondences or repeated phonological patterns between the two bags. Overall, any resemblance is isolated and not promising for hypothetical cognacy.",18,48,0
253,burn,1,none noted,"There are no strongly recurring or widespread shared segmental patterns between the two bags. Bag A's forms cluster around patterns like -am/-au/-ou and initial palatal or sibilant consonants (e.g., pj, tɕ, ɕ), while Bag B is highly diverse and lacks corresponding concentration of similar forms or segmental templates. Any similarities are isolated and do not appear systematically on observable phonological shapes.",18,80,0
254,no,2,"Some recurrence of CVV, CVC, and -ai/-au/-ao endings in both bags, but specific segmental matches are weak and no clear widely shared recurrent shapes detected.","Both bags show some similar general phonotactic patterns (e.g., many CVV/CVVN forms, final -ai/-au/-ao/-ei/-e) and both include disyllabic structures with open syllables. However, segmental correspondences are not convincing—no specific consonant-vowel skeleton, cluster, or substring recurs widely across both bags that would suggest strong shape-based cognacy. Most similar-looking forms (like 'mai' vs 'mao', 'nao', 'hau') are isolated and not systematically repeated. Overall, only weak phonological similarity is observed.",28,66,0
