comparison_id,concept_id,generosity,shared_shape_notes,reasoning,n_tk_forms,n_an_forms,permutation_id
121,back,1,none noted,"The two bags display little overlap in recurrent segmental patterns. Bag A has a strong emphasis on forms centering around 'laŋ', 'lai', or 'la:i', often with preceding syllables like 'pa', 'pɜi', or 'pe', as well as frequent nasal finals. Bag B shows frequent use of 'ku', 'lik', and extensive CVCV or CVCVCV patterns but lacks the systematic 'laŋ' or similar forms found widespread in bag A. No recurring segmental shape is prominent across both bags, suggesting little evidence for hypothetical cognacy on phonological shape alone.",27,80,0
122,house,2,"Moderate recurrence of CVN and CVN(V) and CVVC patterns in both bags, with some items featuring /l/, /n/, /m/, /b/, /r/. Syllables like 'ban', 'lan', 'ran' (bag_a) and 'bal', 'ban', 'lan', 'rum', 'lom' (bag_b) hint at a few loose similarities but with mismatched finals and inconsistent consonants.","Both bags contain many disyllabic and monosyllabic forms with nasal and liquid finals (like -n, -m, -l), and some initial labial and liquid consonants. However, there is no strong, persistent sequence or pattern mapped widely across both sets, and much of the apparent overlap is on common syllable shapes rather than specific consonant/vowel skeletons that would suggest hypothetical cognacy. Thus, only minimal support is present.",28,80,0
123,stone,1,none noted,"Bag A is dominated by forms with a -in or -ɪn nasal coda, often with voiced or palatal/glottal onsets (e.g. ɣin, jɪn, lin, hin, tin), sometimes appearing with tsh- in another clade. Bag B is heavily dominated by disyllabic (C)V(C)V forms, especially with patterns like batu, bato, fatu, pat, vat, etc., showing a b/p/f/v- initial and a (C)V ending, often -tu/-to or -at. There are no repeated segmental skeletons or dominant shared substructures across the sets; both the onsets and rhyme structures are fundamentally different, and no widespread patterns recur in both sets.",20,80,0
124,spit,2,"Some syllable structures like 'tu', 'la', and 'na' appear in both bags, and a few forms show similar CV combinations (e.g., 'tupa', 'tubad', 'tumukpa' in bag_b vs. 'tu', 'nam', 'na:m', 'lam' in bag_a), but overall most forms differ considerably in shape and segmental makeup.","There are a handful of superficially similar syllables (such as 'tu', 'la', and 'na') and clusters like 'nam', 'lam', 'la:i', but these are common patterns and do not recur systematically across both bags. Most word forms otherwise diverge in consonant and vowel sequences, and no compelling widespread recurring shapes link the sets.",22,80,0
125,rotten,2,"Some forms in both bags with final -m, -n, -k, or -ŋ; some CVm and CVn shapes; presence of some nasal or liquid-initial forms (na-, ma-, la-, lu-) in both bags. Isolated CVC and CVVC patterns also match, but with little systematicity.","There are some superficial shape similarities like CVm, CVn or CVk/ŋ codas, and occasional matches in syllable structure (e.g., lau : pilau, map : mapuhəð), and nasal/liquid-initial roots (na-, la-, ma- in both sets), but these are relatively common cross-linguistically. There is no pervasive or systematic phonological match across the sets, but a few forms suggest a distant or accidental resemblance.",26,80,0
126,dust,3,"Recurrent labial-initial or labial syllables (fu-, bu-, pu-, phu-, mu-, fun, bun, fɔn, fon, etc. in bag_a; buq, pua, fafen, bunuvun, papau, vovok, vovot-, etc. in bag_b). Some nasal-initial syllables (muk, mon, moŋ, mok in bag_a; mragu, nemu, namaxaɸ in bag_b) and some final -k/-ŋ/-n codas recur, but full forms rarely closely match.","There appears to be repeated use of labial consonants (f/p/m/b/v) as onsets, as well as some shared VC shapes involving -u-, -o-, -a-, and nasal codas in both sets. However, although such syllables and codas are numerous in each set, closer matches beyond generic CVN/CVC patterns are scarce, and long exact sequences are not widely shared. The overall shape similarity hints at potential, but without strong, clear, multi-item correspondences, the evidence is moderate but not strong.",29,80,0
127,correctright,2,"Some possible overlap in CV/VCV(C) structures, nasal codas, and initial m-, t-, or p-, but no clear recurring roots or segmental patterns shared widely across both bags.","While both bags exhibit a variety of CV, CVC, and disyllabic structures, there is little compelling segmental similarity linking forms across the two bags. Some words in both sets begin with m-, t-, or p-, and both feature nasal and liquid codas, but these are predictable phonotactic patterns rather than strong evidence of hypothetical cognacy. No root shape or segment sequence appears recurrently and distinctively in both datasets.",23,80,0
128,liedown,1,none noted,"There are no clear, widespread recurring segmental shapes across both bags. While a few forms across both sets feature nasals and sequences like 'nVn' or 'ŋ', such CVC or nasal-final structures are common and not uniquely shared. Overall, the segmental skeletons in each bag differ greatly and do not suggest promising hypothetical cognacy.",31,80,0
129,how,2,"Recurrent nasal-final and nasal-medial syllables (e.g., -nV, -ŋ, ma-, na-, pan-), some CVC and CV: patterns, presence of forms with reduplication or similar elements (e.g., ma-, pan-, ku-/kura). Otherwise, segmental overlap is limited and consistent correspondences are not clear.","There are a few superficial similarities, such as widespread nasal-initial, nasal-final, and some repeating syllables like ma-/na-/pan-, and some forms with similar CVC or disyllabic skeletons. However, the patterns do not appear systematically correlated or widespread between the sets. Most shapes are divergent and any overlap is likely coincidental or typologically common.",40,80,0
130,blunt,2,"Some mVn/mVm shapes, scattered labials (m, p, b, f) in CVC roots, presence of ŋ-initial forms, but little consistent or systematic similarity across bags beyond chance-level syllable skeletons like CVC/CVNC.","Both bags have numerous CVC and CVNC shapes, with recurrent nasals (m, n, ŋ) and labials, suggesting a few superficial lookalikes (e.g., 'mun', 'kum', 'mau', 'mum', etc.). However, shared shapes do not recur systematically across multiple items—the overlap appears sporadic and not widespread enough to significantly signal hypothetical cognacy on shape alone.",37,80,0
131,wide,2,"Isolated shared elements such as -aŋ/~-aŋg and initial kwa-/khwa- vs. labiovelars, but not widely recurring in bag_b.","While bag_a shows a strong concentration of forms like kwa:ŋ, khwa:ŋ, and ka:ŋ, only a handful of bag_b forms (e.g., labaŋ, dalábaŋ, balaha, lamang, ma'lawang) show noticeable overlap in the sequence -aŋ or similar endings. Possible resemblance in /kw-/ and labial-initials is too sporadic across bag_b and does not create a widely shared, systematic shape. Overall, widespread recurrent shapes are not observed in both bags, making the hypothetical cognacy weak on segmental grounds.",19,80,0
132,sea,2,"Some isolated similarities such as ha:i~hawa, mo.ŋ~moi/mɔhin, la:ŋ~lavək/lawud/lawan, but these are scattered and not widespread; -ai/-awi/-ay/-oi/-a:i/-ay/-oi/-awi/-au final sequences appear in both bags, but overall shape similarity is weak.","There are a few superficial resemblances such as initial ha-/ho- and nasal+vowel sequences, and some final diphthongs like -ai/-oi/-ay/-aw. However, these are not widespread patterns across both sets, and the predominant consonant and vowel structures diverge in most items. This set has limited promise for hypothetical cognacy based on form alone.",18,80,0
133,fall,2,"A recurring CV(k) shape like 'tok', 'tɔk', 'tˢok' and 'tak' appears in both bags. Some weak echoes with initial 't-' or 'm-' forms, but overall little consistent multisyllabic patterning.","Bag A contains a strong cluster of 'tok/tɔk/tok/thok' forms and some monosyllabic shapes, while Bag B has a few items like 'takawa', 'tˢoβi', '-tak', 'tatɨk', and 'tapu' that have some overlap with the 'tok/tak' shape. However, there is little indication of widespread or systematic shared patterns beyond these isolated similarities, and the majority of forms do not match well in segmental structure.",17,80,0
134,count,1,none noted,"Bag A forms are generally short with simple CV(C) shapes and frequent nasal, liquid, and glide segments, such as nai, jai, nap, and son. Bag B is dominated by longer forms, many with complex clusters, reduplication, or multiple syllables (e.g., bilang, lumpu', masipul, soməpə', tau-ria), and has little recurring phonological resemblance to Bag A's forms. No noteworthy recurring phonological patterns are shared widely across both bags.",13,80,0
135,dig,2,"Some shared CVC shapes with medial/labial onsets and -t/-k codas (e.g., wa:t, pa:k ~ forms like kali, kutkot, kakali), but overall little consistent resemblance and limited broad recurring shape matches.","Bag A prominently features (C)wa:t, (C)weːt, (C)va:t, with CVC structures and finals like -t/-k, while Bag B shows a much wider variety with some CVC formations and some forms (like kali, kutkot, kakali, kali) repeating. However, the overlap in phonological structure is weak, with only sporadic and superficial matches mostly in the CVC template and use of coronal/labial consonants. No widespread, convincing recurring patterns suggestive of hypothetical cognacy.",30,80,0
136,mosquito,2,"Marginal overlap in CVŋ/CVn, nuŋ/ŋoŋ with namu/nam/nim/nanu-; otherwise little recurrent segmental similarity.","Both bags have multiple forms with a nasal plus high vowel plus velar nasal or 'n' endings (e.g., ńuŋ, juŋ, nim, namu), and a few forms with 'ŋ'-final shapes or CVn/CVŋ patterns, but these are both typologically common patterns and not particularly diagnostic. Overall, there is little systematic shared segmental structure or persistent recurring shape across more than one item in both sets, so hypothetical cognacy is not strongly supported.",18,80,0
137,when,2,Some nasal-initial and CVN or CVVN shapes recur in both bags; rare partial matches like 'nai/na' or 'kau/ka-' but generally distinct segmental profiles.,"While both bags contain some forms with similar syllabic patterns (e.g., CVN, CVCV, and forms with initial nasals or k-/n- onsets), the consonant and vowel sequences diverge substantially overall. Only occasional similar shapes like 'na', 'ka', and 'nau/nu' appear, but these are scattered and often not in analogous environments, giving limited support for widespread hypothetical cognacy.",40,80,0
138,squeeze,2,"Some recurring nasal-final (CVC nasal) and CVC sequences like 'pan', 'kan', 'nɛn', 'ɐn' in bag_a; similar CV(C)N syllables in a few bag_b items (banan, manandaitsy, namo, namu), but otherwise overall root structure and consonant clusters diverge.","While there are a few CVC and nasal-final shapes that superficially match across the bags (such as 'pan', 'kan', 'nɛn' and 'banan', 'namo', 'namu'), these are isolated and do not show cohesive, widespread patterns. Most forms in bag_b are longer and have complex clusters unlikely to correspond regularly to shapes in bag_a. Thus, only weak, isolated shape resemblances exist.",27,80,0
139,throw,1,none noted,"There are no clear recurring segmental patterns between the two bags. Bag A shows many forms with final -t/-k and clusters of 'v', 'w', and 'd' in the onset, whereas Bag B exhibits a greater diversity of complex syllables, varied final consonants, and little resemblance in common phonological skeletons. No shape recurs widely across both sets.",36,80,0
140,spider,2,"Recurring 'ka', 'ku', 'ŋ', and syllabic reduplication in both bags; also widespread CV:ŋ/CV:w/CV:ŋa type forms and some 'law/lawa' in bag_b matching 'la' and 'lo' in bag_a, with possible nasal-final forms in both.","There are a few recurring patterns such as initial 'ka-/ku-', nasal codas ('ŋ'), and some reduplicated forms present in both bags. However, the overall segmental similarity is fairly superficial, and most forms do not clearly match across the sets. Only sparse partial patterns are shared but nothing systematic or widespread enough to strongly suggest hypothetical cognacy.",36,80,0
141,dreamsomething,1,none noted,"On shape alone, the forms in bag_a and bag_b exhibit distinct consonant and vowel structures, with no obvious recurring patterns or segmental affinities present across both bags. Even among multi-syllable strings, there is no clear evidence for systematic correspondences or widely-shared skeletons. Any minor superficial similarities (e.g., presence of nasal or stop + vowel + nasal sequences) are isolated and not recurrent on both sides.",33,80,0
142,warm,1,none noted,"There is minimal segmental overlap between the two bags. Bag A is dominated by short (C)V(C) syllable strings with many forms involving 'au', 'un', 'u:n', or 'am/um' shapes, and several syllables starting or ending with nasals or liquids. Bag B, in contrast, is more polysyllabic, often contains clusters, reduplications, and longer forms with little resemblance to the recurrent CV shapes of Bag A. No widespread, plausible correspondences or shared skeletons are found.",26,80,0
143,flow,2,"Some apparent similarity in VC sequences such as 'lui', 'luiʔ', and 'lui' segments present in both bags; loose resemblance with C-l-(V)i/u shapes (e.g., 'lui', 'luiʔ', 'loi', 'lui', 'qluli', 'qəlúlui', 'mqluiʔ').","While most forms are quite different, there is a limited pattern where 'lui' or similar (loi/lui/luiʔ/luli) appears multiply in both bags, particularly in some Formosan forms and multiple Tai/Kam-Sui items. However, overall segmental resemblance across bags is weak, and apparent shape overlaps are rare and mostly confined to a single segment cluster.",24,80,0
144,and,2,"Possibly recurring nasal-final CVC shapes (e.g., taŋ, kan, tan, nan, jan), and some overlap with CV(C) forms starting with k-/t-/m- (e.g., kap~kag/kág, taŋ~tan, neɐm~nia/neu/noo), but these are common patterns and may be accidental.","While both bags show a prevalence of short CVC/CVVC forms with nasals and stops, and there is some overlap in syllable patterns and initials like k-, t-, and m-, these shapes are very common cross-linguistically and infrequent precise matches occur. There are one or two possible correspondences (e.g., taŋ~tan), but widespread robust shape similarity is lacking.",30,80,0
145,dirty,1,none noted,"There are no clear, recurring segmental patterns, consonant clusters, or vowel structures that are widespread in both bags. Most forms are quite distinct in their phonological makeup. While both bags include forms with CV or CVCV shapes and a few nasal/consonant-initial forms, the overlap is not systematic or consistent enough to suggest promising hypothetical cognacy.",22,80,0
146,chew,2,"Isolated similarity: 'ŋau' occurs in both bags; both bags feature some forms with nasal-vowel clusters (e.g., 'mam', 'mamam', 'ńa:i'), and reduplicated/m-bilabial-heavy forms, but no widespread, clear patterns matching across both bags.","The only directly repeated form between the two bags is 'ŋau', which could suggest a possible connection, but is a single, isolated instance. While both bags have a number of forms featuring nasal or bilabial initial segments and potential reduplication, these are not systematic nor clearly matched in shape across many items. Overall, there is little compelling evidence for broad hypothetical cognacy in the set.",21,80,0
147,needleforsewing,2,"Some overlap in -m final syllables (e.g., sum/sim/sɪm/səm vs. hum/gum/um/umu/mum/umay), but most initial clusters and vowel patterns differ; only partial, non-persistent resemblance in endings.","Both bags have a number of items ending in -m or -um, and some with s-like or t/k onsets, but the commonalities are limited mostly to the final syllable. The majority of initial and medial consonants, as well as vocalic patterns, do not correspond regularly, and recurring shapes in one bag (e.g., various -im/-em/-am/-um) do not have clear and repeated partners in the other. There are isolated superficial similarities but not widespread, systematic segmental matches.",30,80,0
148,thousand,1,none noted,"Bag A is dominated by forms with s/ɕ/ś/tɕ + i/e + n structure, often CVN or CVCVN syllables, with heavy use of palatal and alveolar fricatives or affricates and front vowels. Bag B is mostly characterized by forms in libu/ribu/βu (CVbu) shapes, as well as a wide variety of polysyllabic and compound-like forms. There are no compelling recurring phonological skeletons or correspondences across both bags, and no shape appears to be even loosely widespread in both sets.",30,80,0
149,fruit,2,"Possible overlap in ma:k, mai, mak, and bu(a/o)-, bua, boŋ, but these are isolated and do not show consistent, widespread, or systematic resemblance in structure across both bags.","While there are individual forms such as ma:k (bag_a) and forms beginning with bu-/bo-/bua- (bag_b), no clear or widespread recurring segmental pattern is robustly present in both bags. Shapes like 'ma:k' and 'bua' might suggest shallow resemblance, but these are sporadic and not systematic. Overall, broader structural correspondences and repeated patterns are lacking.",23,80,0
150,hunt,1,none noted,"Despite both bags containing a relatively high number of forms with initial t/k/p and some CV or CVC shapes, there are no obvious recurring phonological skeletons or segmental patterns aligning widely across both sets. Any similar-sounding forms appear chance-like and not systematic or widespread. The overall segmental makeups are distinct and lack promising correspondences.",35,80,0
151,smellperceive,2,"Very limited overlap: a few vague CVCV patterns, nasal-initial CVN/CVM clusters, and rare similar syllable shapes (e.g., mau ~ ʈəmaul, mau ~ mai), but no widespread recurring roots or robust correspondences across both bags.","The two sets show a wide variety of segmental patterns and little evidence of systematic recurrence of shapes or clear correspondences. Occasional surface similarities like 'mau' (bag_a) and 'mai', 'mahamot' (bag_b), or some final -m, -n, -p/-b forms are best attributed to general phonotactic tendencies rather than robust evidence for hypothetical cognacy.",22,80,0
152,yawn,1,none noted,"Bag A is dominated by CVV and CVC syllable types, with numerous forms containing elements like 'ha:u', 'hau', 'lum', and 'lam', and multiple concatenations with '+', but these shapes are not clearly matched by wide-spread forms in bag B. Bag B contains many repeated 'ma-', 'mama-', 'mava-', 'swab', 'yab', 'waw', and 'ab' sequences, usually in longer, reduplicated or suffixed multisyllabic forms. No consistent or widespread segmental shape, reduplication, or skeleton recurs across both bags.",34,80,0
153,if,2,"Some matches like 'laŋ', 'ko', 'na', 'ka', 'ŋ', and similar open syllables; possible recurring nasal, liquid, and velar shapes; however, shared patterns are only weakly attested and never tightly matched across both bags.","Both bags contain forms built from open syllables, with particular recurrence of 'la', 'ka', 'na', 'ŋ', and 'ko' sequences, and some medial nasal or liquid segments. These common shapes could arise via coincidence given their ubiquity. There are no striking widespread, specific recurring templates in both bags, but a handful of segmental overlaps warrant a low generosity score rather than outright rejection.",30,80,0
154,thunder,2,"Scattered labial-initial CV and CCV shapes (e.g., pja, po, pu, pha/faa, pl- in bag_a; pyu, bru, plu, bu-, pa-, pi-, pu- in bag_b), but no strong recurring correspondences across both bags, and syllable structures differ widely.","Both bags show some superficial overlap in bilabial-initial clusters and syllables (pja/fa/po/pu versus pyu/bru/plu/pa/pi/pu in various forms), but these are broad shapes and appear across multiple unrelated items in both sets. However, there are no clear, repeated, systematic correspondences or strongly matching roots widespread in both bags, and the overall phonological profiles and syllable structures are quite different. Only isolated and typologically common shapes are shared.",30,80,0
155,cooksomething,2,"Noted widespread CVN and CVCV(C) patterns, a few forms with -ŋ/-n/-m codas in both bags, and scattered similarities like 'tuŋ', 'tom', 'tum' in bag_a and 'tunu', 'tomalək', 'maluto', 'duto', 'tunuk' in bag_b, but no robust, recurring segmental skeletons across both bags.","While both bags contain some n/m-final syllables and CVN forms, and a few biforms with medial liquids or labials, the overall shape matches are weak and inconsistent. No strong, repetitive shared skeletons suggest possible cognacy; similarities are limited to very general syllable patterns and a few coincidental lookalikes.",26,80,0
156,shoot,1,none noted,"Bag A contains a large number of forms with a recurring 'ŋ' final and mostly monosyllabic or disyllabic shapes, such as (C)(j/i/ɪ/ŋ) patterns. Bag B is dominated by polysyllabic, complex forms, with a recurring 'pana' shape and various other distinct roots and affixes. No widespread shared skeletons or patterns are apparent, and no recurring shapes are matched across both bags.",18,80,0
157,lightning,3,"Multiple forms with -lap, -lɛp, or -jap in bag_a align roughly with forms like 'lapet-', 'ladjap', and 'idlap' in bag_b. Some matching onset consonant clusters (l-, p-, m-) and repeated syllable patterns (e.g., la-, ma-, va-), but many forms in bag_b diverge significantly.","There is some promising overlap in the segmental shapes, especially around 'lap', 'jap', and similar syllable structures. Several forms in both bags share CV(C)VC patterns and consonant/vowel skeletons. However, for most items, the correspondences are limited or obscured by divergent forms, making the overall hypothetical cognacy only moderately promising based on shape alone.",32,80,0
158,plantsomething,2,"Some nasal clusters (m-, n-) and -am/-an/-um/-om/-aŋ/-am/-an/-am final nasal/coda patterns visible in both, but otherwise overall structure and consonant sequences diverge.","Both sets display a certain recurrence of nasal consonant-initial forms and syllabic structures ending in -m or -n, and there are scattered matches in overall CV(C) shape. However, the segmental composition, affix patterns, and root shapes otherwise diverge considerably and there is not enough recurrent structural similarity, so hypothetical cognacy is not strongly supported on shape alone.",22,80,0
159,lake,2,"Some recurring shapes in bag_b like -naw, -law, -laŋ, -luŋ, -ŋa; bag_a has forms like laːŋ, waŋ, nɔ:ŋ, ɹaːŋ, and lo:ŋ, but no widespread, systematic segmental matches.","Both bags feature forms ending in -ŋ and nasal-final syllables (e.g., laːŋ, waŋ in bag_a; lanaw, banaw in bag_b), but the correspondences are limited and irregular. There is no strong shared consonant/vowel skeleton recurring widely across both sets, and most similarities appear coincidental or marginal rather than systematic.",20,80,0
160,fatorganicsubstance,2,"Some recurring VC and CVC forms with 'man', 'mai', 'na', and 'la:u' in bag_a and similar 'ma', 'mana', 'mai', 'man', and 'kao', 'la' in bag_b; overall, segmental similarity is weak and not systematic.","There are a few strings in each bag whose shapes loosely resemble each other (e.g., 'man', 'mai', 'na', 'la:u'), but these are mostly simple CV or CVC syllables found cross-linguistically and do not recur in both bags in a systematic, patterned way. Most items do not show consistent correspondences or shared structural patterns. The superficial overlap is likely coincidental, so hypothetical cognacy on shape alone is not strongly supported.",23,80,0
161,far,2,"Some overlapping patterns: -ai, -ay, initial k-/kj-/kl-, and medial/lateral l/j elements occur in both bags, but matches are often vague or componential rather than whole word shapes.","While there are some superficial similarities, such as recurring final -ai/-ay/-ei syllables and some initial k-/kl-/kj- clusters in both bags, these are common phonological patterns and no strong, consistent shape correspondences recur broadly across both sets. No clear, widespread template points to hypothetical cognacy beyond chance-level resemblance.",26,80,0
162,in,1,none noted,"The forms in bag_a predominantly display syllable structures rich in initial glottal or voiced stops followed by vowels with little resemblance to the more complex, multisyllabic and varied onset structures in bag_b. No recurring root shapes, segmental templates, or consonant/vowel sequences are shared widely across both bags to suggest hypothetical cognacy.",17,80,0
163,we,4,"Strong recurrence of CVVC/VVC shapes with t/k initial and a/u/i vowels across both bags, notably forms like 'tau', 'lau', 'toi', and 'kat-/kit-/tik-/ita' sequences in both sets. Many forms cluster around (C)(i/u/a)t(a/u/o) and identical syllable sequences (e.g., 'tau', 'lau', 'kita', 'ita').","There are clear widespread segmental parallels between the bags: both feature many forms with 't/k/i/u/a' structures and frequent bisyllabic CV.CV or CVCVC words. Recurring shapes like 'tau', 'lau', and 'kita/ita' appear in both sets, strongly supporting hypothetical cognacy based solely on form, especially given their distribution across several different clades in both bags.",26,80,0
164,say,1,none noted,"Overview of the segmental shapes reveals no significant or recurring phonological patterns shared across both bags. Although both bags have a variety of forms that sometimes contain similar phonemes (such as initial k- or presence of nasal codas), there are no systematic or widespread matches in their consonant/vowel sequences or syllabic structures. Similarities appear coincidental and scattered, without evidence of recurring or regular phonological correspondences.",23,80,0
165,hide,1,none noted,"There are no clear, recurrent segmental shapes or consonant-vowel skeleton patterns that appear across both bags. Some bag_a items cluster around C(V)u and CVC forms, but these patterns do not show systematic matches in bag_b, where forms are generally longer and more complex. No promising wide shape similarities indicating hypothetical cognacy are observed.",12,80,0
166,scratch,2,"Some overlap in the presence of initial k-, ka-, ko-, and final -ai/-oi/-au vowels, as well as -k- and nasal/velar segments, but these are not systematic or especially distinctive; clusters and reduplicated forms are more frequent in bag_b. Few if any highly distinctive patterns recur strongly across both sets.","While both bags contain several items with initial velar stops (k-, g-, ŋ-) and some CV(V)N/CVVC patterns, the overlap is mostly in very common phonological structures. Bag_a is much shorter, with little internal variation, and while bag_b is rich in types, the matching shapes are not widespread or diagnostic. No strong, systematic patterning stands out for hypothetical cognacy.",10,80,0
167,at,1,none noted,"There are no recurring segmental shapes or consonant-vowel skeletons that are widespread in both bags. Bag A tends to have monosyllabic or simple disyllabic forms with initial palatals, fricatives, or stops and complex vowels, while Bag B displays a wide array of shapes, many of them longer and involving clusters or nasals uncommon in Bag A. There are no clear recurring patterns to suggest hypothetical cognacy.",8,80,0
168,fearbeafraid,1,none noted,"Bag A forms are generally short CV, CCV, or CVCV(V) structures, with high prevalence of labial, velar, and lateral onsets, and diphthongs or long vowels, while Bag B forms are much longer, frequently with complex consonant clusters and affixal elements (e.g., initial 'ma-', 'mi-', 'mata-'). There is no recurrent pattern or segmental skeleton consistently linking the two bags, and no plausible correspondences across multiple items.",6,80,0
169,heorshe,1,none noted,"The forms in bag_a are tightly similar, all with initial 't-' and vowel nuclei like 'e', 'i', or 'ɛ' with a final glottal stop, except for one divergent 'man'. Bag_b, however, shows a great diversity of shapes and syllable structures, with no strong similarity to the patterns in bag_a. No recurring segmental skeletons appear widely in both bags, so hypothetical cognacy is not supported on shape alone.",4,80,0
170,branch,2,"Possible overlaps in nasal-stop plus high vowel (e.g., 'ŋiŋ' in bag_a and 'ŋa', 'ŋo', or 'ŋe' clusters in bag_b); some final -ŋ in both, but shapes and structures diverge considerably overall.","While there are a few superficial similarities, such as nasal-initial sequences ('ŋi', 'ŋe', 'ŋa' in bag_a and 'ŋa', 'saŋa', 'taŋa' in bag_b), the bulk of forms in both bags do not align in consonant-vowel skeletons or recurrent patterns. The overlap is mainly in general nasal and high vowel segments, and final -ŋ elements, which are relatively common structures and could be coincidental.",11,80,0
171,burn,1,none noted,"There are no strongly recurring or widespread shared segmental patterns between the two bags. Bag A's forms cluster around patterns like -am/-au/-ou and initial palatal or sibilant consonants (e.g., pj, tɕ, ɕ), while Bag B is highly diverse and lacks corresponding concentration of similar forms or segmental templates. Any similarities are isolated and do not appear systematically on observable phonological shapes.",18,80,0
172,blowofwind,4,"Frequent sharing of p/b/f/v and u/i/o vowel patterns, especially C-u/i-p/F roots (e.g., 'hip,' 'jəp,' 'zəp,' 'piu' in bag A and 'jup,' 'mi'úp,' 'iupɨn,' 'yip,' 'uvup' in bag B), plus some strong overlap in forms with final -p, -f, or -v endings.","Both bags show recurrent CVp/CVf patterns with u/i vowels, and bilabial or labiovelar consonants (p, b, v, f) as onsets or finals, which are distributed widely in both sets. Shapes like 'jəp,' 'zəp,' 'hip,' 'piu' (A) and 'jup,' 'uvup,' 'yip,' 'mi'úp,' 'iu-p' (B) reinforce the similarity. While not all forms are matched, the recurrence and spread suggest promising shape-based hypothetical cognacy.",14,80,0
173,old,1,none noted,"There are no recurring segmental patterns or consonant-vowel skeletons that can be identified as shared across multiple forms in both bags. Bag_a forms are generally short and simple, while bag_b forms have more complex and varied structures, with no consistent overlap in form. Isolated superficial similarities (e.g. presence of 'l', 'k', or diphthongs) appear accidental and not systematic.",11,80,0
174,suck,2,"Marginal resemblance of CVC (especially C-u-t/p) and CVCVCV, with both bags showing items like 'cup', 'dup', 'dut', and various forms with repeated or reduplicated CV syllables (e.g., 'supsup', 'sipsip', 'səpˈsəp'). However, segmental details and consonant stock differ and there is little systematic overlap.","Both bags contain a small number of superficially similar CVC forms (e.g., 'cup', 'dup', 'dut' in bag_a and 'dup', 'hup' in bag_b), and bag_b has multiple reduplicated or repeated CV syllables, echoing minor echoes of 'cup' in bag_a. However, overall phonological structures and consonant patterns differ, and systematic, widespread correspondences are not apparent. There is little broad evidence for widespread shared shape.",18,80,0
175,beloworunder,2,"Some CVC and disyllabic shapes recur (e.g. forms with initial 'ka-', 'la-', and medial '-pa-', '-ta-', '-na-' in both bags), but most similarities are isolated and do not form widespread patterns across both sets.","A few superficial shape similarities exist (such as 'kha/kha:', 'ka-', 'pa:', 'la-', and 'tam/tamu'), but the overall variety in segmental patterns and the lack of consistent or systematic correspondences across several items in both bags makes widespread hypothetical cognacy unlikely. The observed overlaps appear to be accidental and limited to generic phonological templates.",22,80,0
176,grow,2,"Possible recurring CVV(C) shapes with /tVbV/, /tub/, /tom/, /too/, /to:/, /tupu/, /tum/; some similar nasal and lateral forms (loŋ, lu:ŋ, loŋ ~ lumaki, lumuːk), but correspondences are scattered and not systematic.","A few segmental patterns, like t-b or t-m with a rounded vowel nucleus (e.g., tom, too, to:, tubu, tum), can be matched across both bags, and rare forms with l or n plus a back vowel are also sporadically seen. However, these similarities are generally isolated, not widespread, and there is no clear system of correspondences, making hypothetical cognacy on shape alone not strongly supported.",21,80,0
177,twenty,2,"Both bags display some recurrent CV(C)V(C) sequences with 'p/l' and medial/lateral resonants, and some forms in both bags show repeated segments such as 'pu', 'lu', 'sa', but these are not widespread and do not form a consistent recurring skeleton across both bags; overall structure seems distinct.","A few segmental similarities like 'pu', 'lu', and 'sa' clusters are seen in both sets, but these are inconsistent and often appear in different phonological contexts. Most forms in bag_a display ni-/ji-/sa- patterns alongside -sip/-sup/-sep endings, while bag_b is dominated by more polysyllabic, cluster-rich items with recurrent 'pulu', 'mpu', or 'sal' sequences, but without pervasive, systematic correspondences. The overlap is limited and mostly sporadic rather than systematic.",20,80,0
178,hold,1,none noted,"Across both bags, there is a lack of recurring consonant-vowel skeletons or plausible phonological correspondences that would support hypothetical cognacy. Bag A words are generally short and have different syllable structures from the more complex and polysyllabic forms in Bag B. No shape patterns repeat in both sets in a way that would suggest common heritage.",18,80,0
179,split,2,"Some overlap on simple CV:k and pV forms (e.g., pha(k), pa:k, ba(k), biak, baká, pəscák, busak), and 'ph'/'p' initial with low vowel and coda k appears in both bags. However, the overall distribution is sporadic and most recurring shapes are not shared widely between the two sets.","While both bags contain forms with initial p-/ph- and coda -k (e.g., 'pha:k', 'pa:k' vs. 'baká', 'busak', 'biak'), and both pV and ba/pa forms appear multiple times, the general structure and syllable makeup of most items in each bag is quite divergent. Only a few shapes (e.g., CVC, initial p-/b-, coda k) recur across both, and they're not sufficiently widespread or distinctive to warrant a higher score.",17,80,0
180,bedeadordie,4,"Extensive recurrence of CV(V)C and CVCV strings with t/i, m/a, t/a elements; widespread 'mat-', 'pat-', 'tai', 'maCai', and 'mati/matey' motifs in both bags.","Both bags show repeated forms with initial m/p/t clusters and following a/i vowels, including shapes like 'tai', 'mat', 'pat', and 'mate'. Bag_b displays an especially pervasive cluster 'mat-', 'pat-', and 'tai', which correspond to 'tai', 'ta:i', and related forms in bag_a, suggesting a strong pattern of segmental similarity. Multiple syllables and consonant-vowel patterns are echoed across sets, making a hypothetical cognacy quite plausible based on form alone.",11,80,0
